episode,step,total_queue,avg_latency
12,31,0,7.809523809523809
12,32,0,8.045454545454545
12,33,0,8.347826086956522
12,34,0,8.347826086956522
13,0,0,0
13,1,0,0
13,2,0,0
13,3,0,2.0
13,4,0,2.0
13,5,0,2.5
13,6,0,2.5
13,7,0,2.6666666666666665
13,8,0,2.5
13,9,0,2.5
13,10,0,2.6
13,11,0,2.6
13,12,0,2.75
13,13,1,2.75
13,14,0,2.7777777777777777
13,15,0,2.9
13,16,0,3.0
13,17,0,3.0
13,18,0,3.0
13,19,0,3.1538461538461537
13,20,0,3.1538461538461537
13,21,0,3.2
13,22,0,3.125
13,23,0,3.111111111111111
13,24,0,3.111111111111111
13,25,0,3.25
13,26,0,3.1904761904761907
13,27,0,3.272727272727273
13,28,0,3.2083333333333335
13,29,0,3.2083333333333335
13,30,0,3.32
13,31,0,3.3846153846153846
13,32,0,3.3846153846153846
13,33,0,3.3846153846153846
13,34,0,3.5357142857142856
14,0,0,0
14,1,0,1.0
14,2,0,1.0
14,3,0,2.0
14,4,0,2.3333333333333335
14,5,0,2.3333333333333335
14,6,0,2.3333333333333335
14,7,0,2.3333333333333335
14,8,0,2.5
14,9,0,2.4
14,10,0,2.6666666666666665
14,11,0,2.7142857142857144
14,12,0,2.7142857142857144
14,13,0,2.7142857142857144
14,14,0,3.25
14,15,0,3.5555555555555554
14,16,0,4.0
14,17,0,4.090909090909091
14,18,0,4.416666666666667
14,19,0,4.416666666666667
14,20,0,4.416666666666667
14,21,0,5.0
14,22,0,5.0
14,23,0,5.5
14,24,0,5.5
14,25,0,5.5
14,26,0,5.823529411764706
14,27,0,6.111111111111111
14,28,0,6.111111111111111
14,29,0,6.111111111111111
14,30,0,6.473684210526316
14,31,0,6.85
14,32,0,6.85
14,33,0,7.095238095238095
14,34,0,7.095238095238095
15,0,0,0
15,1,0,0
15,2,0,0
15,3,0,3.0
15,4,0,3.0
15,5,0,3.5
15,6,0,3.0
15,7,0,3.5
15,8,0,3.5
15,9,0,3.2
15,10,0,3.2
15,11,0,3.3333333333333335
15,12,0,3.2857142857142856
15,13,0,3.2857142857142856
15,14,0,3.5
15,15,0,3.5555555555555554
15,16,0,3.5555555555555554
15,17,0,3.9
15,18,0,4.090909090909091
15,19,0,4.230769230769231
15,20,0,4.357142857142857
15,21,0,4.4375
15,22,0,4.588235294117647
15,23,0,4.588235294117647
15,24,0,4.722222222222222
15,25,0,4.7894736842105265
15,26,0,4.7894736842105265
15,27,0,4.65
15,28,0,4.909090909090909
15,29,0,4.826086956521739
15,30,0,4.826086956521739
15,31,0,5.076923076923077
15,32,0,5.076923076923077
15,33,0,4.962962962962963
15,34,0,4.962962962962963
16,0,0,0
16,1,0,0
16,2,0,0
16,3,0,2.0
16,4,0,2.0
16,5,0,2.0
16,6,0,2.0
16,7,0,2.6666666666666665
16,8,0,2.6666666666666665
16,9,0,2.6
16,10,0,2.6
16,11,0,3.0
16,12,0,3.0
16,13,0,3.0
16,14,0,3.3333333333333335
16,15,0,3.4
16,16,0,3.4
16,17,0,3.727272727272727
16,18,0,3.727272727272727
16,19,0,4.0
16,20,0,4.0
16,21,0,4.142857142857143
16,22,0,4.4
16,23,0,4.6875
16,24,0,4.647058823529412
16,25,0,4.647058823529412
16,26,0,4.947368421052632
16,27,0,4.947368421052632
16,28,0,5.285714285714286
16,29,0,5.285714285714286
16,30,0,5.590909090909091
16,31,0,5.590909090909091
16,32,0,5.739130434782608
16,33,0,6.041666666666667
16,34,0,5.88
17,0,0,0
17,1,0,0
17,2,0,0
17,3,0,3.0
17,4,0,3.0
17,5,0,2.6666666666666665
17,6,0,3.25
17,7,0,3.25
17,8,0,3.8
17,9,0,4.0
17,10,0,4.428571428571429
17,11,0,4.428571428571429
17,12,0,4.375
17,13,0,4.888888888888889
17,14,0,4.888888888888889
17,15,0,5.3
17,16,0,5.2727272727272725
17,17,0,5.2727272727272725
17,18,0,5.75
17,19,0,5.846153846153846
17,20,0,5.846153846153846
17,21,0,6.0
17,22,0,6.533333333333333
17,23,0,6.533333333333333
17,24,0,6.75
17,25,0,7.0
17,26,0,7.0
17,27,0,7.277777777777778
17,28,0,7.277777777777778
17,29,0,7.571428571428571
17,30,0,7.571428571428571
17,31,0,7.863636363636363
17,32,0,7.863636363636363
17,33,0,8.043478260869565
17,34,0,8.043478260869565
18,0,0,0
18,1,0,0
18,2,0,2.0
18,3,0,2.0
18,4,0,2.0
18,5,0,2.3333333333333335
18,6,0,2.3333333333333335
18,7,0,2.5
18,8,0,2.5
18,9,0,3.0
18,10,0,3.3333333333333335
18,11,0,3.142857142857143
18,12,0,3.142857142857143
18,13,0,3.5
18,14,0,3.3333333333333335
18,15,0,3.3333333333333335
18,16,0,3.6363636363636362
18,17,0,3.6363636363636362
18,18,0,4.083333333333333
18,19,0,3.923076923076923
18,20,0,3.923076923076923
18,21,0,4.428571428571429
18,22,0,4.4
18,23,0,4.4
18,24,0,4.764705882352941
18,25,0,4.764705882352941
18,26,0,4.631578947368421
18,27,0,5.0
18,28,0,5.0
18,29,0,5.380952380952381
18,30,0,5.5
18,31,0,5.869565217391305
18,32,0,5.869565217391305
18,33,0,6.208333333333333
18,34,0,6.24
19,0,0,0
19,1,0,0
19,2,0,0
19,3,0,0
19,4,0,4.0
19,5,0,4.0
19,6,0,4.0
19,7,0,4.0
19,8,0,5.5
19,9,0,5.5
19,10,0,5.5
19,11,0,6.0
19,12,0,5.25
19,13,0,5.25
19,14,0,5.0
19,15,0,5.333333333333333
