episode,step,total_queue,avg_latency
26,22,0,7.714285714285714
26,23,0,8.066666666666666
26,24,0,8.625
26,25,0,8.625
26,26,0,8.625
26,27,0,9.61111111111111
26,28,0,9.61111111111111
26,29,0,10.052631578947368
26,30,0,10.052631578947368
26,31,0,10.952380952380953
26,32,1,10.952380952380953
26,33,1,10.545454545454545
26,34,2,10.91304347826087
27,0,0,0
27,1,0,0
27,2,0,0
27,3,0,3.0
27,4,0,3.5
27,5,0,3.0
27,6,0,3.0
27,7,0,3.0
27,8,0,4.0
27,9,0,4.4
27,10,0,4.4
27,11,0,5.166666666666667
27,12,0,5.166666666666667
27,13,0,5.714285714285714
27,14,0,5.714285714285714
27,15,0,6.375
27,16,0,5.888888888888889
27,17,0,7.090909090909091
27,18,0,7.090909090909091
27,19,0,7.090909090909091
27,20,0,7.75
27,21,0,8.307692307692308
27,22,0,8.307692307692308
27,23,0,8.307692307692308
27,24,0,9.533333333333333
27,25,0,9.0625
27,26,0,9.0625
27,27,0,9.38888888888889
27,28,0,10.0
27,29,0,9.65
27,30,2,9.65
27,31,3,9.909090909090908
27,32,5,10.521739130434783
27,33,4,10.25
27,34,4,10.84
28,0,0,0
28,1,0,0
28,2,0,2.0
28,3,0,2.0
28,4,0,2.5
28,5,0,2.5
28,6,0,3.3333333333333335
28,7,0,3.3333333333333335
28,8,0,3.75
28,9,0,3.75
28,10,0,4.6
28,11,0,5.0
28,12,0,5.714285714285714
28,13,0,5.714285714285714
28,14,0,6.555555555555555
28,15,0,6.1
28,16,0,6.1
28,17,0,6.1
28,18,0,7.333333333333333
28,19,0,7.333333333333333
28,20,0,8.0
28,21,0,8.428571428571429
28,22,0,8.428571428571429
28,23,0,9.133333333333333
28,24,0,9.176470588235293
28,25,0,9.176470588235293
28,26,0,9.61111111111111
28,27,0,10.263157894736842
28,28,0,9.85
28,29,1,10.333333333333334
28,30,0,10.652173913043478
28,31,0,10.652173913043478
28,32,0,10.375
28,33,0,11.384615384615385
28,34,0,11.074074074074074
29,0,0,0
29,1,0,0
29,2,0,0
29,3,0,3.0
29,4,0,3.5
29,5,0,3.5
29,6,0,3.6666666666666665
29,7,0,3.6666666666666665
29,8,0,4.75
29,9,0,5.2
29,10,0,5.833333333333333
29,11,0,5.833333333333333
29,12,0,6.285714285714286
29,13,0,6.285714285714286
29,14,0,7.125
29,15,0,7.444444444444445
29,16,0,7.444444444444445
29,17,0,8.1
29,18,0,8.545454545454545
29,19,0,8.545454545454545
29,20,0,9.0
29,21,0,9.0
29,22,0,9.928571428571429
29,23,0,9.928571428571429
29,24,0,9.928571428571429
29,25,0,10.333333333333334
29,26,0,10.411764705882353
29,27,0,10.411764705882353
29,28,0,10.411764705882353
29,29,0,10.944444444444445
29,30,0,11.421052631578947
29,31,0,11.421052631578947
29,32,0,11.95
29,33,0,12.476190476190476
29,34,0,12.0
30,0,0,0
30,1,0,0
30,2,0,0
30,3,0,0
30,4,0,3.5
30,5,0,3.5
30,6,0,4.0
30,7,0,4.0
30,8,0,4.8
30,9,0,4.8
30,10,0,5.0
30,11,0,5.571428571428571
30,12,0,5.571428571428571
30,13,0,5.571428571428571
30,14,0,6.0
30,15,0,6.777777777777778
30,16,0,6.777777777777778
30,17,0,7.3
30,18,0,7.3
30,19,0,8.0
30,20,0,8.0
30,21,0,8.583333333333334
30,22,0,8.583333333333334
30,23,0,9.153846153846153
30,24,0,9.2
30,25,0,9.2
30,26,1,9.352941176470589
30,27,4,9.352941176470589
30,28,3,9.526315789473685
30,29,4,9.526315789473685
30,30,3,9.904761904761905
30,31,3,9.904761904761905
30,32,2,10.26086956521739
30,33,2,10.26086956521739
30,34,1,11.192307692307692
31,0,0,0
31,1,0,0
31,2,0,2.0
31,3,0,2.0
31,4,0,2.6666666666666665
31,5,0,2.6666666666666665
31,6,0,3.25
31,7,0,3.25
31,8,0,4.0
31,9,0,4.0
31,10,0,4.0
31,11,0,4.75
31,12,0,4.75
31,13,0,4.444444444444445
31,14,0,5.0
31,15,0,5.166666666666667
31,16,0,5.166666666666667
31,17,0,6.071428571428571
31,18,0,6.071428571428571
31,19,0,5.8
31,20,0,6.3125
31,21,0,6.444444444444445
31,22,0,6.842105263157895
31,23,0,6.842105263157895
31,24,0,7.25
31,25,0,7.714285714285714
31,26,0,7.714285714285714
31,27,0,7.782608695652174
31,28,0,7.782608695652174
31,29,0,8.291666666666666
31,30,0,8.68
31,31,0,8.68
31,32,0,9.555555555555555
31,33,0,9.555555555555555
31,34,0,10.071428571428571
32,0,0,0
32,1,0,0
32,2,0,0
32,3,0,0
32,4,0,4.0
32,5,0,4.0
32,6,0,4.0
32,7,0,4.0
32,8,0,5.333333333333333
32,9,0,5.75
32,10,0,6.4
32,11,0,6.4
32,12,0,7.428571428571429
32,13,0,6.75
32,14,0,7.222222222222222
32,15,0,7.8
32,16,0,7.8
32,17,0,8.307692307692308
32,18,0,8.307692307692308
32,19,0,8.307692307692308
32,20,0,8.333333333333334
32,21,1,8.8125
32,22,0,8.631578947368421
32,23,0,8.631578947368421
32,24,0,9.318181818181818
32,25,0,9.318181818181818
32,26,0,9.043478260869565
32,27,0,9.5
32,28,0,9.96
32,29,0,9.96
32,30,0,9.96
32,31,0,10.148148148148149
32,32,0,10.344827586206897
32,33,1,10.066666666666666
32,34,2,10.066666666666666
33,0,0,0
33,1,0,0
33,2,0,2.0
33,3,0,2.0
33,4,0,2.0
