episode,step,total_queue,avg_latency
8,14,0,5.461538461538462
8,15,0,5.461538461538462
8,16,0,5.666666666666667
8,17,0,5.4375
8,18,0,6.0588235294117645
8,19,0,5.833333333333333
8,20,0,6.8
8,21,0,6.571428571428571
8,22,2,6.363636363636363
8,23,2,7.12
8,24,1,6.777777777777778
8,25,3,7.172413793103448
8,26,5,7.483870967741935
8,27,6,7.375
8,28,6,7.2727272727272725
8,29,7,8.142857142857142
8,30,9,8.083333333333334
8,31,9,8.45945945945946
8,32,8,8.447368421052632
8,33,8,8.948717948717949
8,34,10,9.24390243902439
9,0,0,0
9,1,1,0
9,2,0,2.0
9,3,0,2.3333333333333335
9,4,0,2.75
9,5,0,2.75
9,6,0,3.4285714285714284
9,7,0,3.4285714285714284
9,8,0,3.5555555555555554
9,9,0,3.9
9,10,0,3.9
9,11,0,3.9
9,12,0,4.083333333333333
9,13,0,4.615384615384615
9,14,1,4.866666666666666
9,15,1,4.866666666666666
9,16,0,4.75
9,17,2,5.222222222222222
9,18,3,5.684210526315789
9,19,4,5.55
9,20,0,5.55
9,21,0,6.045454545454546
9,22,0,6.565217391304348
9,23,2,6.4
9,24,2,6.230769230769231
9,25,5,6.620689655172414
9,26,5,7.129032258064516
9,27,5,7.129032258064516
9,28,5,7.696969696969697
9,29,7,8.176470588235293
9,30,6,8.285714285714286
9,31,7,8.777777777777779
9,32,7,9.368421052631579
9,33,8,9.820512820512821
9,34,10,10.390243902439025
10,0,0,0
10,1,0,0
10,2,0,0
10,3,0,0
10,4,0,4.0
10,5,0,4.0
10,6,0,4.0
10,7,0,3.0
10,8,0,4.25
10,9,0,4.25
10,10,0,5.0
10,11,0,6.0
10,12,0,6.0
10,13,0,6.571428571428571
10,14,0,7.375
10,15,0,7.888888888888889
10,16,0,7.888888888888889
10,17,0,8.7
10,18,0,8.7
10,19,1,8.666666666666666
10,20,0,9.384615384615385
10,21,0,8.928571428571429
10,22,7,8.928571428571429
10,23,8,9.38888888888889
10,24,10,9.052631578947368
10,25,7,8.8
10,26,8,9.272727272727273
10,27,8,9.625
10,28,11,9.625
10,29,12,10.307692307692308
10,30,15,10.777777777777779
10,31,15,10.821428571428571
10,32,17,10.821428571428571
10,33,18,12.03225806451613
10,34,19,12.03225806451613
11,0,0,0
11,1,0,0
11,2,0,2.0
11,3,0,2.0
11,4,0,3.0
11,5,0,3.6666666666666665
11,6,0,3.6666666666666665
11,7,0,3.6666666666666665
11,8,0,5.4
11,9,0,4.666666666666667
11,10,0,4.666666666666667
11,11,0,5.571428571428571
11,12,0,6.125
11,13,0,6.125
11,14,0,6.125
11,15,0,7.6
11,16,0,7.6
11,17,0,7.6
11,18,0,8.363636363636363
11,19,0,8.538461538461538
11,20,0,8.538461538461538
11,21,1,9.125
11,22,2,8.38888888888889
11,23,3,8.38888888888889
11,24,3,9.047619047619047
11,25,0,8.727272727272727
11,26,1,9.0
11,27,1,9.23076923076923
11,28,3,9.571428571428571
11,29,4,9.571428571428571
11,30,5,9.517241379310345
11,31,4,9.806451612903226
11,32,3,10.090909090909092
11,33,5,10.529411764705882
11,34,4,10.428571428571429
12,0,0,0
12,1,0,0
12,2,0,0
12,3,0,0
12,4,0,4.0
12,5,0,3.0
12,6,0,3.5
12,7,0,3.5
12,8,0,3.2
12,9,0,4.0
12,10,0,4.0
12,11,0,4.0
12,12,0,4.875
12,13,0,4.8
12,14,0,4.545454545454546
12,15,0,5.25
12,16,0,5.25
12,17,0,5.615384615384615
12,18,0,5.357142857142857
12,19,0,6.133333333333334
12,20,0,6.5625
12,21,0,6.294117647058823
12,22,0,7.0
12,23,0,7.0
12,24,0,8.1
12,25,0,8.1
12,26,0,8.571428571428571
12,27,0,8.272727272727273
12,28,4,8.956521739130435
12,29,4,8.708333333333334
12,30,3,9.592592592592593
12,31,3,9.592592592592593
12,32,2,9.428571428571429
12,33,5,10.068965517241379
12,34,7,10.451612903225806
13,0,0,0
13,1,0,0
13,2,0,2.0
13,3,0,2.0
13,4,0,3.0
13,5,0,3.0
13,6,0,2.8
13,7,0,3.5
13,8,0,4.142857142857143
13,9,0,4.142857142857143
13,10,0,4.75
13,11,0,4.75
13,12,0,5.444444444444445
13,13,0,6.1
13,14,0,6.1
13,15,0,6.1
13,16,0,7.5
13,17,0,7.5
13,18,0,7.076923076923077
13,19,1,7.076923076923077
13,20,0,8.0625
13,21,0,8.0625
13,22,0,7.555555555555555
13,23,0,8.210526315789474
13,24,0,8.619047619047619
13,25,1,8.619047619047619
13,26,4,8.625
13,27,6,9.2
13,28,7,9.0
13,29,9,9.592592592592593
13,30,9,9.96551724137931
13,31,9,9.96551724137931
13,32,8,10.419354838709678
13,33,8,10.34375
13,34,9,10.852941176470589
14,0,0,0
14,1,0,0
14,2,0,0
14,3,0,0
14,4,0,3.5
14,5,0,3.5
14,6,0,4.25
14,7,0,4.25
14,8,0,5.0
14,9,0,5.0
14,10,0,5.5
14,11,0,5.5
14,12,0,5.625
14,13,0,6.222222222222222
14,14,0,5.7
14,15,0,6.363636363636363
14,16,0,6.363636363636363
14,17,0,6.538461538461538
14,18,0,6.538461538461538
14,19,0,7.0
14,20,0,7.0
14,21,0,7.944444444444445
14,22,0,7.944444444444445
14,23,3,8.25
14,24,6,8.5
14,25,1,8.26086956521739
14,26,1,8.68
14,27,1,8.538461538461538
14,28,5,9.074074074074074
14,29,5,8.964285714285714
14,30,11,9.551724137931034
14,31,10,9.5
14,32,10,10.03225806451613
14,33,12,10.636363636363637
14,34,13,10.636363636363637
15,0,0,0
15,1,0,0
15,2,0,0
15,3,0,3.0
15,4,0,3.5
15,5,0,3.5
15,6,0,4.333333333333333
15,7,0,5.0
15,8,0,5.0
15,9,0,5.0
15,10,0,6.5
15,11,0,6.5
15,12,0,6.5
15,13,2,6.625
15,14,3,7.333333333333333
15,15,2,6.9
15,16,3,7.636363636363637
15,17,6,7.416666666666667
15,18,6,7.923076923076923
15,19,6,7.857142857142857
15,20,0,8.9375
